Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
TSKS	10	-0.099513	-0.61465	0.11063	0.37409	0.53879	0.99951	-0.24404	-1.5077	0.0012914	0.010714	0.13164	0.45601	0.33519	2.0631	0.058975	0.3186	0.039102	0.19204
MASTL	10	-0.46607	-3.3761	0	0	0.00073508	0.034222	-0.67429	-4.883	0	0	1.0446e-06	2.8889e-05	-0.57055	-4.0759	0	0	4.5833e-05	0.0019717
PPM1A	10	0.0087908	0.08012	0.62979	0.84615	0.93614	0.99951	0.085059	0.77583	0.20146	0.44276	0.43785	0.77519	0.18009	1.6356	0.44081	0.74709	0.10192	0.31908
IKBKE	10	0.031372	0.62081	0.33534	0.63077	0.53472	0.99951	0.022404	0.44344	0.71588	0.8502	0.65745	0.89261	-0.12272	-2.4211	0.094705	0.39464	0.015475	0.11027
STK11	10	0.058038	0.79341	0.13646	0.39924	0.42754	0.99951	0.099476	1.3601	0.13087	0.34428	0.17381	0.52573	-0.089345	-1.2196	0.16746	0.5166	0.22261	0.49588
PRKAG1	9	-0.092214	-0.86982	0.15755	0.43571	0.3844	0.99951	-0.21102	-1.9917	0.0081791	0.054286	0.046401	0.24497	0.11899	1.1137	0.76797	0.91309	0.26543	0.53564
PFAS	10	-0.026099	-0.43881	0.84072	0.93445	0.6608	0.99951	-0.0025638	-0.043111	0.9746	0.98781	0.96561	0.99124	-0.045689	-0.7673	0.322	0.67524	0.4429	0.71251
ATP6V1A	10	-0.45607	-3.3844	0	0	0.00071322	0.034222	-0.72628	-5.3842	0	0	7.2763e-08	3.1301e-06	-0.50916	-3.7303	0	0	0.00019122	0.0054839
SERPINB2	10	0.0099386	0.076778	0.6087	0.82738	0.9388	0.99951	0.016204	0.12534	0.79466	0.89752	0.90025	0.96701	0.015435	0.11891	0.61429	0.83941	0.90535	0.96871
LEPRE1	10	-0.055885	-0.63607	0.42919	0.71695	0.52473	0.99951	-0.096243	-1.0959	0.17434	0.41159	0.27313	0.6529	0.02529	0.28677	0.68403	0.88148	0.77429	0.90522
PPP2R5C	10	-0.031748	-0.2566	0.75549	0.90417	0.79749	0.99951	0.0074574	0.060363	0.89669	0.94897	0.95187	0.98494	0.091951	0.73774	0.90917	0.96131	0.46067	0.72651
SRMS	10	-0.1915	-1.0089	0.0025829	0.029126	0.31303	0.99951	-0.32707	-1.7231	0	0	0.084867	0.35308	0.32165	1.6934	0.074042	0.35318	0.090374	0.30474
DUSP19	10	-0.048031	-0.57648	0.51916	0.77258	0.56429	0.99951	-0.076599	-0.9195	0.28239	0.52861	0.35783	0.72909	0.29772	3.5701	0.10676	0.41459	0.0003568	0.0082884
SEPSECS	10	-0.10185	-0.98043	0.10331	0.3653	0.32688	0.99951	-0.674	-6.4727	0	0	9.6266e-11	1.3977e-08	0.1067	1.023	0.82738	0.93586	0.30629	0.58368
CAMKK1	10	-0.044096	-0.64634	0.57813	0.81475	0.51806	0.99951	-0.037809	-0.55426	0.58545	0.78161	0.5794	0.85838	-0.087888	-1.2862	0.17219	0.52083	0.19839	0.46442
TSSK4	10	-0.017985	-0.269	0.98407	0.99608	0.78793	0.99951	0.059807	0.89561	0.36677	0.61295	0.37046	0.73713	-0.19186	-2.8483	0.024968	0.21168	0.0043948	0.050719
SFTPA1	10	0.014925	0.12593	0.54111	0.79256	0.89979	0.99951	0.08049	0.67968	0.22901	0.47713	0.49671	0.80915	-0.01965	-0.1649	0.43134	0.74186	0.86902	0.9558
FN3K	10	0.022524	0.28705	0.44468	0.72785	0.77408	0.99951	0.088921	1.1335	0.18381	0.42277	0.25702	0.63849	-0.11742	-1.4931	0.10202	0.40646	0.1354	0.37489
PRDX2	10	-0.054782	-0.5322	0.43995	0.72431	0.59458	0.99951	-0.074405	-0.72362	0.29703	0.54118	0.4693	0.79286	0.0050032	0.04825	0.5523	0.80338	0.96152	0.98828
RDX	10	0.0086377	0.058181	0.63237	0.84815	0.9536	0.99951	-0.019943	-0.13467	0.77228	0.88593	0.89287	0.96337	0.081016	0.53734	0.97934	0.99217	0.59103	0.80854
IGSF10	10	0.019404	0.22527	0.47525	0.74595	0.82177	0.99951	0.015945	0.1852	0.79681	0.89854	0.85308	0.95582	-0.087306	-1.0087	0.17391	0.52102	0.3131	0.59082
PAK4	10	-0.011499	-0.15329	0.92122	0.97406	0.87817	0.99951	0.040389	0.5391	0.53293	0.74894	0.58982	0.86445	-0.086556	-1.1447	0.17607	0.52102	0.25232	0.52634
STK4	10	-0.11982	-0.77204	0.057684	0.26962	0.44009	0.99951	-0.15102	-0.97562	0.043909	0.17739	0.32925	0.70813	0.11271	0.7165	0.7882	0.91738	0.47369	0.7329
GUCY2F	10	0.03294	0.2636	0.32243	0.61995	0.79209	0.99951	0.054033	0.43266	0.41068	0.65612	0.66526	0.89427	0.15099	1.2039	0.57038	0.81239	0.22862	0.5015
FOLR3	10	-0.032995	-0.27328	0.73655	0.89441	0.78464	0.99951	-0.014277	-0.11845	0.83857	0.91974	0.90571	0.9677	0.016753	0.13742	0.62247	0.84561	0.8907	0.96332
PTPLA	10	-0.064694	-0.6931	0.33018	0.62663	0.48825	0.99951	-0.09825	-1.0536	0.16659	0.40104	0.29206	0.67849	0.14167	1.5077	0.62247	0.84561	0.13162	0.37084
CHRNA9	10	0.056991	0.67714	0.14163	0.40718	0.49832	0.99951	0.16689	1.9848	0.011192	0.068241	0.047161	0.24843	-0.3169	-3.7316	0.00043048	0.011494	0.00019026	0.0054839
HS3ST1	10	-0.027909	-0.40492	0.81145	0.91946	0.68554	0.99951	-0.045224	-0.65619	0.51184	0.73671	0.5117	0.81978	0.0032665	0.047343	0.54498	0.79924	0.96224	0.98828
CLCNKA	10	7.8164e-05	0.00066019	0.76238	0.90542	0.99947	1	0.0027008	0.022814	0.95824	0.98062	0.9818	0.99706	0.072425	0.61104	0.95997	0.98325	0.54117	0.77938
VDAC2	10	-0.12259	-1.707	0.050366	0.25107	0.08782	0.79072	-0.12884	-1.7948	0.078777	0.25559	0.072693	0.31936	-0.1544	-2.1415	0.047783	0.28109	0.032237	0.17497
ERBB3	10	-0.043979	-0.53487	0.58115	0.81475	0.59274	0.99951	0.017813	0.21673	0.77271	0.88598	0.82842	0.95402	-0.26297	-3.1829	0.0043048	0.078125	0.0014581	0.022886
DNPEP	10	-0.0089016	-0.081198	0.88678	0.96082	0.93528	0.99951	0.077997	0.71201	0.23848	0.48682	0.47646	0.79536	0.16124	1.4657	0.52647	0.78968	0.14272	0.38552
SPINK6	10	-0.027424	-0.27832	0.81705	0.92002	0.78077	0.99951	-0.087556	-0.8891	0.21782	0.46168	0.37395	0.73742	0.056391	0.56842	0.85536	0.93682	0.56975	0.79623
PTPN9	10	-0.033646	-0.45849	0.72665	0.89124	0.6466	0.99951	0.064122	0.87482	0.32889	0.56972	0.38167	0.73776	-0.048013	-0.64966	0.31296	0.67315	0.51591	0.76384
CHIA	10	-0.079418	-1.2323	0.20921	0.50051	0.21782	0.99951	-0.07264	-1.1279	0.30994	0.55454	0.25935	0.64026	-0.037111	-0.57325	0.35557	0.68891	0.56648	0.79464
GRIN2D	10	-0.023919	-0.2125	0.88291	0.95886	0.83172	0.99951	0.045794	0.40757	0.47697	0.7153	0.68359	0.90638	-0.034256	-0.30202	0.36634	0.6969	0.76264	0.89969
MTMR11	10	-0.017681	-0.25191	0.99139	0.99914	0.80111	0.99951	0.0057729	0.08226	0.91606	0.95856	0.93444	0.98035	0.084285	1.1993	0.95566	0.98274	0.2304	0.50209
RPS6KC1	10	-0.025001	-0.33474	0.8588	0.94505	0.73782	0.99951	-0.059206	-0.79299	0.40637	0.65193	0.42779	0.76975	-0.17073	-2.2731	0.034869	0.23988	0.023022	0.13973
TPTE2	10	-0.079874	-0.72778	0.20534	0.49688	0.46675	0.99951	-0.12606	-1.1491	0.088678	0.27876	0.25053	0.63054	0.11774	1.0692	0.76152	0.91012	0.28497	0.5567
SYNC	10	-0.056614	-0.4276	0.42144	0.71169	0.66894	0.99951	-0.15036	-1.1372	0.045631	0.18307	0.25546	0.63667	0.025691	0.19139	0.68575	0.88148	0.84822	0.94868
ALDH3A1	10	-0.072467	-0.91865	0.26173	0.56506	0.35828	0.99951	-0.12312	-1.5608	0.093414	0.2878	0.11857	0.4297	0.10124	1.2829	0.85923	0.9382	0.19952	0.46487
CYB5A	10	0.044599	0.79694	0.21782	0.51008	0.42549	0.99951	0.16758	2.9971	0.011192	0.068241	0.0027254	0.028139	-0.15249	-2.7078	0.048644	0.28109	0.0067737	0.067453
PACSIN1	10	-0.024102	-0.50154	0.88033	0.95829	0.61599	0.99951	0.016543	0.34428	0.79122	0.89659	0.73064	0.92039	-0.19109	-3.9714	0.024968	0.21168	7.1456e-05	0.0026772
MME	10	0.04179	0.35236	0.24193	0.54143	0.72457	0.99951	0.06085	0.51339	0.35687	0.60335	0.60768	0.87084	0.062335	0.52312	0.89539	0.95638	0.60089	0.81511
PTPN5	10	-0.009781	-0.12673	0.89712	0.96175	0.89915	0.99951	0.020641	0.26767	0.74171	0.86932	0.78895	0.93811	-0.049995	-0.64396	0.30392	0.66478	0.5196	0.7654
TTN	10	0.081631	0.98327	0.052518	0.25684	0.32547	0.99951	0.11928	1.4369	0.068876	0.23916	0.15073	0.48195	-0.16189	-1.9463	0.040895	0.26016	0.05162	0.22003
RAB8B	10	0.082374	0.699	0.051657	0.25641	0.48455	0.99951	0.093404	0.79354	0.16358	0.39958	0.42747	0.76975	0.059551	0.50163	0.87516	0.94426	0.61592	0.82219
WNK1	10	-0.30207	-3.7388	0	0	0.00018489	0.013855	-0.43674	-5.4058	0	0	6.4532e-08	2.8284e-06	-0.20457	-2.5278	0.018511	0.18565	0.011479	0.091325
AARS2	10	-0.048534	-0.52056	0.51356	0.77027	0.60267	0.99951	-0.18028	-1.9336	0.018511	0.098398	0.053157	0.27139	0.019529	0.20917	0.64012	0.86003	0.83432	0.93992
SPIRE2	10	-0.11611	-1.2606	0.065002	0.29264	0.20745	0.99951	-0.0632	-0.68646	0.37409	0.61983	0.49243	0.80595	-0.040637	-0.44006	0.34137	0.68092	0.65989	0.84517
NPSR1	10	-0.092923	-1.0931	0.13302	0.39615	0.27436	0.99951	-0.064013	-0.75348	0.36806	0.61378	0.45116	0.78155	-0.0304	-0.35591	0.38269	0.70728	0.72191	0.8817
PDP2	10	0.058916	0.66198	0.13259	0.39615	0.50799	0.99951	0.08156	0.9169	0.22213	0.46612	0.35919	0.72909	-0.23672	-2.6494	0.0064572	0.090361	0.0080635	0.07553
RNASE2	10	-0.0046281	-0.046538	0.82953	0.92644	0.96288	0.99951	0.066358	0.66798	0.31468	0.55623	0.50414	0.81498	-0.050491	-0.50375	0.30306	0.66478	0.61444	0.82219
GAPDHS	10	-0.022452	-0.25917	0.90443	0.96553	0.7955	0.99951	0.0070256	0.081145	0.90099	0.95007	0.93533	0.98035	0.023027	0.26468	0.6681	0.87535	0.79126	0.9179
NR3C2	10	0.087821	1.5871	0.037452	0.20616	0.11248	0.85667	0.087628	1.5842	0.18726	0.42386	0.11315	0.41788	-0.066389	-1.1942	0.24451	0.60684	0.23239	0.50408
KLK1	10	-0.044248	-0.52172	0.57512	0.81475	0.60187	0.99951	-0.11897	-1.4033	0.09944	0.2954	0.16052	0.4985	-0.087835	-1.0286	0.17219	0.52083	0.30366	0.58154
NR1I2	10	-0.10478	-0.9572	0.095136	0.35531	0.33846	0.99951	-0.075825	-0.69283	0.28842	0.53514	0.48842	0.80184	0.21516	1.9636	0.30306	0.66478	0.049578	0.21689
PIK3R1	10	0.055474	0.56499	0.15024	0.42201	0.57208	0.99951	0.16153	1.6468	0.013345	0.078283	0.099595	0.3834	0.057856	0.58598	0.86354	0.93826	0.55789	0.79062
MAPK7	10	0.051968	0.9398	0.16832	0.45098	0.34732	0.99951	-0.0035978	-0.065064	0.96298	0.9833	0.94812	0.98292	-0.0060962	-0.11015	0.4929	0.77313	0.91229	0.96991
MAN1A1	10	-0.047382	-0.43628	0.53078	0.78485	0.66264	0.99951	-0.048447	-0.44637	0.48644	0.72343	0.65533	0.89182	0.14663	1.3447	0.59234	0.82466	0.17873	0.43474
ALDH3B1	10	-0.0099461	-0.12952	0.89841	0.96175	0.89695	0.99951	0.048224	0.62913	0.45631	0.69645	0.52927	0.82802	-0.010164	-0.13152	0.47353	0.7621	0.89536	0.96561
AK7	10	-0.067166	-0.74155	0.30478	0.60565	0.45836	0.99951	-0.076819	-0.84855	0.28196	0.52861	0.39613	0.74693	0.17591	1.9363	0.46104	0.75904	0.052828	0.22264
ADRA1A	10	-0.037179	-0.37133	0.67155	0.86522	0.71039	0.99951	0.014756	0.1477	0.81231	0.90765	0.88258	0.96119	0.12277	1.2175	0.73526	0.90227	0.22341	0.49588
KCNE1	10	-0.042006	-0.79987	0.60783	0.8267	0.42379	0.99951	-0.027107	-0.51619	0.69135	0.83873	0.60572	0.86937	-0.14167	-2.6961	0.063711	0.32527	0.0070151	0.068471
GABBR1	10	-0.019211	-0.2653	0.9647	0.98985	0.79078	0.99951	0.022436	0.31002	0.71588	0.8502	0.75655	0.93241	-0.028005	-0.38516	0.3926	0.71184	0.70012	0.869
JAKMIP1	10	-0.014942	-0.18307	0.96987	0.9912	0.85474	0.99951	-0.032204	-0.39462	0.63926	0.81015	0.69313	0.90883	0.11212	1.3722	0.79165	0.91754	0.17001	0.42225
TARS2	10	-0.33064	-3.1041	0	0	0.0019084	0.062868	-0.70961	-6.651	0	0	2.9112e-11	5.2021e-09	0.028121	0.26294	0.69867	0.88834	0.7926	0.9179
GRK6	10	-0.087849	-0.99166	0.15712	0.43504	0.32136	0.99951	-0.16045	-1.8117	0.032716	0.14476	0.07004	0.31349	0.0021144	0.023781	0.53638	0.79515	0.98103	0.99245
GSTT2	10	-0.032806	-0.20811	0.74085	0.89682	0.83515	0.99951	-0.093489	-0.59433	0.18683	0.42383	0.55229	0.84074	0.13231	0.83421	0.67972	0.88148	0.40416	0.68536
RAB9A	10	0.089341	1.3591	0.034869	0.19613	0.17411	0.98381	0.14326	2.181	0.027551	0.13142	0.029181	0.18271	0.09141	1.3841	0.91132	0.9614	0.16634	0.41854
ALLC	10	-0.042103	-0.59546	0.60697	0.8267	0.55153	0.99951	-0.13775	-1.9489	0.065002	0.22914	0.051308	0.26545	-0.056308	-0.7903	0.2768	0.64108	0.42935	0.70368
ALDH1L1	10	0.011581	0.19404	0.58631	0.81508	0.84614	0.99951	-0.035887	-0.60157	0.60353	0.78676	0.54746	0.83939	-0.0093559	-0.15605	0.47912	0.76653	0.876	0.9558
PDE7B	10	0.023722	0.32301	0.43134	0.71879	0.74669	0.99951	0.13205	1.8005	0.043909	0.17739	0.07178	0.31701	-0.13163	-1.7742	0.075334	0.35569	0.076031	0.27341
MTAP	10	0.040427	0.27009	0.25527	0.55629	0.78709	0.99951	0.132	0.88354	0.043909	0.17739	0.37695	0.73776	0.083416	0.55561	0.96384	0.98504	0.57847	0.79972
FASTK	10	-0.017885	-0.20304	0.98579	0.99652	0.83911	0.99951	-0.038146	-0.43327	0.58287	0.78021	0.66482	0.89427	0.11077	1.2528	0.80069	0.92125	0.21027	0.48172
HMOX2	10	-0.127	-1.1294	0.041756	0.22299	0.25872	0.99951	-0.10234	-0.91103	0.1511	0.37931	0.36228	0.73141	0.31229	2.7701	0.081791	0.37037	0.0056036	0.059987
MAPK6	10	-0.013701	-0.20087	0.95695	0.98934	0.8408	0.99951	-0.060075	-0.88087	0.39819	0.64415	0.37839	0.73776	-0.090041	-1.3168	0.1653	0.51265	0.18792	0.44911
GP9	10	-0.0092185	-0.079844	0.89023	0.96141	0.93636	0.99951	0.00052117	0.0045161	0.98407	0.99305	0.9964	1	0.21268	1.8372	0.3121	0.67192	0.06618	0.25364
TUBB2B	10	-0.1342	-1.5662	0.032286	0.1861	0.1173	0.86777	-0.15446	-1.8028	0.038743	0.161	0.071425	0.31664	-0.066616	-0.77682	0.24322	0.60622	0.43726	0.70785
NDUFS8	10	-0.17298	-1.963	0.0051657	0.047809	0.049652	0.63028	-0.28197	-3.1999	0.00043048	0.0039526	0.0013748	0.016048	0.12043	1.3648	0.7486	0.9062	0.17232	0.4245
CDKL3	10	-0.079546	-1.2627	0.20921	0.50051	0.20668	0.99951	-0.049466	-0.78629	0.48214	0.72133	0.4317	0.77299	-0.026364	-0.41499	0.40293	0.72055	0.67815	0.85602
PRDX5	10	-0.026013	-0.23428	0.84331	0.93598	0.81477	0.99951	-0.0045111	-0.040647	0.95136	0.97443	0.96758	0.99148	-0.018916	-0.16972	0.43478	0.74374	0.86523	0.95544
NDUFB10	10	-0.23892	-2.409	0.00043048	0.0058824	0.015998	0.27943	-0.30131	-3.0415	0	0	0.0023541	0.025435	-0.19559	-1.9477	0.022385	0.19847	0.051453	0.22003
MYL6B	10	-0.007312	-0.088898	0.86698	0.94955	0.92916	0.99951	-0.0054228	-0.065947	0.94102	0.9694	0.94742	0.98292	0.067453	0.81798	0.93026	0.97299	0.41337	0.69227
SPTBN1	10	0.052416	0.78346	0.16616	0.44884	0.43336	0.99951	0.15188	2.271	0.018511	0.098398	0.02315	0.15545	0.028835	0.42993	0.7034	0.88998	0.66724	0.84773
PPT1	10	0.0084015	0.089691	0.64012	0.85411	0.92853	0.99951	0.064228	0.68592	0.32889	0.56972	0.49276	0.80595	0.011858	0.12625	0.5932	0.82466	0.89953	0.96837
LDHAL6B	10	-0.010202	-0.12977	0.90486	0.96555	0.89675	0.99951	-0.051378	-0.65377	0.46621	0.70554	0.51326	0.8211	-0.024751	-0.3136	0.40981	0.72616	0.75382	0.89746
WARS	10	-0.39887	-2.714	0	0	0.0066476	0.14956	-0.59801	-4.0684	0	0	4.7343e-05	0.00087284	-0.051884	-0.35211	0.29746	0.66251	0.72476	0.88286
CDKN1B	10	0.011686	0.156	0.58416	0.81475	0.87603	0.99951	-0.047254	-0.6309	0.49634	0.72854	0.52811	0.82802	0.15023	2.0022	0.57254	0.81346	0.045268	0.20729
TTBK2	10	0.021998	0.36686	0.44899	0.73039	0.71372	0.99951	0.046325	0.77297	0.4718	0.71169	0.43954	0.7763	-0.088036	-1.4606	0.17219	0.52083	0.14413	0.38698
AKAP5	10	0.018286	0.24274	0.49333	0.7591	0.80821	0.99951	0.022002	0.29214	0.72536	0.85838	0.77018	0.93241	-0.032285	-0.42722	0.37538	0.70177	0.66922	0.84904
ITGA2B	10	-0.10584	-1.1924	0.092553	0.35008	0.23312	0.99951	-0.10317	-1.1626	0.14679	0.37227	0.24499	0.62335	0.075903	0.85354	0.98364	0.99262	0.39336	0.67522
PRKRA	10	-0.1236	-1.5335	0.049074	0.24891	0.12516	0.87962	-0.21275	-2.6408	0.0073181	0.050746	0.0082722	0.068143	0.024002	0.29568	0.67671	0.88123	0.76747	0.90111
DUSP8	10	-0.13218	-1.0401	0.034869	0.19613	0.29831	0.99951	-0.043616	-0.34347	0.53035	0.74894	0.73125	0.92039	0.19502	1.5307	0.37882	0.70447	0.12584	0.3618
DNTT	10	-0.019368	-0.16592	0.96212	0.98985	0.86822	0.99951	-0.008679	-0.074453	0.90099	0.95007	0.94065	0.98044	0.15076	1.2821	0.57081	0.8125	0.1998	0.46507
CELA1	10	-0.05181	-0.43556	0.4731	0.74543	0.66315	0.99951	-0.03889	-0.32754	0.5777	0.77662	0.74326	0.92628	-0.20236	-1.6825	0.018941	0.18565	0.09247	0.30997
CACNA1S	10	-0.086721	-0.9411	0.16186	0.44131	0.34665	0.99951	-0.087141	-0.94611	0.21954	0.46279	0.34409	0.72041	-0.17344	-1.8717	0.032716	0.23242	0.061253	0.24035
SCN10A	10	-0.055198	-0.53057	0.43737	0.72313	0.59572	0.99951	-0.075185	-0.72308	0.29229	0.53712	0.46963	0.79286	0.09737	0.93191	0.88076	0.94854	0.35138	0.63178
PPP3CB	10	-0.051116	-0.54894	0.47826	0.74614	0.58305	0.99951	-0.04716	-0.50674	0.4972	0.72871	0.61234	0.87455	0.13841	1.4815	0.64399	0.86324	0.13848	0.38024
MET	10	0.0090499	0.15455	0.62376	0.84009	0.87717	0.99951	0.0098159	0.16767	0.86053	0.9292	0.86684	0.95798	0.066565	1.1345	0.92381	0.96929	0.25658	0.52714
TFPI	10	0.067463	1.2988	0.096427	0.35726	0.19401	0.99473	0.092852	1.7884	0.1653	0.40104	0.073709	0.32246	-0.047306	-0.9062	0.3164	0.67455	0.36483	0.64591
KCNK3	10	0.014201	0.13918	0.55144	0.80075	0.88931	0.99951	0.048474	0.47537	0.45588	0.69645	0.63452	0.88849	-0.26892	-2.6232	0.0034438	0.068966	0.0087102	0.079689
LDHC	10	0.077617	1.036	0.061128	0.27953	0.30021	0.99951	0.11643	1.5542	0.075334	0.25216	0.12013	0.43264	0.10695	1.4259	0.82609	0.93586	0.15388	0.40347
STK35	10	-0.21773	-2.5436	0.00086096	0.010638	0.010972	0.20891	-0.44585	-5.2072	0	0	1.9168e-07	7.1818e-06	0.037309	0.4344	0.75118	0.90744	0.66399	0.847
OXCT2	10	-0.073486	-0.61541	0.25484	0.55587	0.53829	0.99951	-0.083353	-0.69958	0.24279	0.49258	0.48419	0.80049	-0.082694	-0.68384	0.18769	0.53761	0.49407	0.74674
DCLK1	10	0.0060174	0.079196	0.67198	0.8653	0.93688	0.99951	-0.050175	-0.66043	0.47568	0.71382	0.50898	0.81824	-0.094104	-1.2357	0.15454	0.49861	0.21657	0.48876
CASR	10	-0.063333	-1.2325	0.34567	0.64395	0.21777	0.99951	-0.0047196	-0.091883	0.94791	0.97261	0.92679	0.97844	-0.18554	-3.5963	0.02712	0.21356	0.00032276	0.0077296
SLC18A1	10	-0.042263	-0.45269	0.60353	0.82519	0.65077	0.99951	0.065738	0.70482	0.31898	0.55882	0.48092	0.79798	-0.036076	-0.38443	0.35816	0.68931	0.70066	0.869
IYD	10	0.0069389	0.06052	0.65906	0.8612	0.95174	0.99951	-0.022155	-0.19356	0.7443	0.87016	0.84652	0.95582	0.18549	1.5999	0.41842	0.73328	0.10963	0.33059
SNRPA	10	-0.19168	-2.2813	0.0025829	0.029126	0.022528	0.3536	-0.34835	-4.1461	0	0	3.3825e-05	0.0006548	-0.13902	-1.6513	0.066294	0.33121	0.098675	0.31709
RXRB	10	-0.051708	-0.36799	0.47353	0.74543	0.71288	0.99951	-0.045382	-0.32313	0.50926	0.73524	0.7466	0.92945	0.23482	1.669	0.2415	0.60518	0.095115	0.31345
TRAPPC4	10	-0.33591	-3.3044	0	0	0.00095164	0.041711	-0.57819	-5.6861	0	0	1.2996e-08	8.6256e-07	-0.36962	-3.615	0	0	0.00030032	0.0076178
SNAP25	10	-0.033188	-0.29618	0.73267	0.89314	0.7671	0.99951	-0.010977	-0.098038	0.87861	0.9367	0.9219	0.977	0.12846	1.1409	0.70297	0.88998	0.25389	0.52634
GRIK2	10	0.0059018	0.082617	0.6737	0.86656	0.93416	0.99951	0.0030229	0.042343	0.95222	0.97488	0.96622	0.99124	-0.011169	-0.15555	0.47008	0.76098	0.87639	0.9558
ACPT	10	-0.04959	-0.70782	0.50022	0.76228	0.47906	0.99951	-0.10831	-1.5464	0.12957	0.34354	0.12201	0.43539	-0.19976	-2.8374	0.020663	0.19522	0.0045487	0.051797
CDKN2D	10	-0.010654	-0.11577	0.91046	0.97018	0.90784	0.99951	0.1005	1.093	0.12742	0.34259	0.27441	0.65437	-0.055982	-0.60548	0.27938	0.64229	0.54486	0.78179
PRKG1	10	-0.00085475	-0.016043	0.77443	0.90868	0.9872	0.99951	0.010693	0.20076	0.85493	0.92804	0.84089	0.95582	0.060529	1.1334	0.88377	0.95002	0.25704	0.52732
RBP1	10	0.013594	0.15388	0.55962	0.80645	0.8777	0.99951	0.06876	0.77865	0.29789	0.5419	0.43618	0.77452	-0.048856	-0.55106	0.30865	0.66884	0.58159	0.80038
ATP2A1	10	0.049639	0.73046	0.17994	0.46756	0.46511	0.99951	0.094724	1.3948	0.15368	0.38223	0.16306	0.5039	-0.0031906	-0.046702	0.51098	0.78309	0.96275	0.98828
ATP8A1	10	0.036026	0.56569	0.29789	0.59965	0.5716	0.99951	0.074973	1.1775	0.25613	0.50725	0.23899	0.6158	-0.13082	-2.0493	0.077486	0.3629	0.040434	0.19609
PPP1R13B	10	0.042538	0.43338	0.23289	0.52832	0.66474	0.99951	0.11166	1.1383	0.092122	0.2861	0.25498	0.63667	-0.0044474	-0.045096	0.50108	0.77912	0.96403	0.98828
TENC1	10	-0.062799	-0.95729	0.34912	0.64828	0.33842	0.99951	-0.014795	-0.22556	0.83427	0.91761	0.82155	0.95353	-0.36802	-5.6036	0	0	2.0992e-08	6.0956e-06
CD3E	10	-0.028186	-0.49377	0.80801	0.91946	0.62147	0.99951	-0.01001	-0.17541	0.88678	0.94067	0.86076	0.95626	-0.040025	-0.69933	0.34266	0.68092	0.48435	0.73876
PDE4C	10	-0.051892	-0.58617	0.47223	0.74543	0.55776	0.99951	-0.12483	-1.4104	0.0904	0.28302	0.15843	0.49335	-0.10353	-1.1654	0.13087	0.45714	0.24388	0.5192
PTPRS	10	-0.012651	-0.22425	0.93629	0.98106	0.82256	0.99951	-0.0091625	-0.16242	0.89496	0.94758	0.87098	0.96015	-0.14166	-2.5078	0.063711	0.32527	0.012147	0.095011
PAEP	10	-0.038302	-0.20468	0.65992	0.8612	0.83782	0.99951	-0.086845	-0.46447	0.21997	0.46328	0.64231	0.89182	0.00081202	0.0043182	0.52906	0.79086	0.99655	0.99827
AKR1A1	10	-0.081147	-0.6726	0.19802	0.4899	0.5012	0.99951	-0.058576	-0.48624	0.41025	0.65588	0.6268	0.88352	-0.074967	-0.61571	0.21739	0.57452	0.53808	0.77783
GOT2	10	-0.04535	-0.59228	0.55489	0.80312	0.55366	0.99951	-0.068083	-0.88957	0.33965	0.58401	0.3737	0.73742	0.04269	0.55536	0.78605	0.91738	0.57865	0.79972
IFNAR2	10	0.045657	0.21613	0.21223	0.50254	0.82889	0.99951	0.15959	0.75984	0.014206	0.082915	0.44735	0.77843	-0.054174	-0.25558	0.28627	0.64981	0.79827	0.91995
MYH14	10	-0.12569	-1.3275	0.0452	0.23282	0.18435	0.99473	-0.16586	-1.7526	0.028412	0.1336	0.079668	0.3371	-0.0012222	-0.012845	0.51873	0.78391	0.98975	0.99446
PTGER1	10	-0.16928	-1.8038	0.0060267	0.05364	0.071267	0.73254	-0.17762	-1.8939	0.020232	0.10284	0.058232	0.28479	0.016496	0.17502	0.62075	0.84476	0.86106	0.95477
CTSK	10	0.034479	0.28479	0.3121	0.61389	0.7758	0.99951	0.059173	0.4897	0.37064	0.61632	0.62435	0.8825	-0.028666	-0.23351	0.39001	0.71115	0.81537	0.92568
FARS2	10	-0.10101	-1.2719	0.10719	0.37054	0.2034	0.99473	-0.29962	-3.772	0	0	0.00016192	0.0025415	0.040576	0.50806	0.77142	0.91335	0.61141	0.82098
GNMT	10	-0.12259	-1.7003	0.050366	0.25107	0.08908	0.79897	-0.086052	-1.1937	0.22772	0.47572	0.23259	0.60776	0.058273	0.80717	0.86655	0.93978	0.41957	0.69701
PACSIN3	10	-0.16126	-1.8869	0.0081791	0.068345	0.059178	0.67388	-0.14504	-1.698	0.053379	0.20361	0.089514	0.36542	0.039652	0.4626	0.76711	0.91309	0.64365	0.83915
