Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
MGST2	10	0.0029644	0.040231	0.99742	0.99871	0.96791	0.99869
BHMT	10	-0.11219	-1.7404	0.28067	0.97168	0.081794	0.7464
PPTC7	10	-0.17696	-1.969	0.098149	0.78477	0.048958	0.70498
CACNB2	10	-0.034516	-0.36502	0.7288	0.9961	0.71509	0.97983
ENPEP	10	0.12738	1.3947	0.20878	0.91577	0.1631	0.82859
TARS	10	-0.058962	-0.65846	0.5635	0.9961	0.51024	0.93987
FCGR3A	10	-0.043685	-0.62377	0.65949	0.9961	0.53278	0.94911
ADRB3	10	0.044684	0.72233	0.67542	0.9961	0.47009	0.92978
PPP1R1B	10	-0.079868	-1.205	0.44727	0.9961	0.22821	0.87765
MTMR12	10	0.055491	0.49027	0.59535	0.9961	0.62394	0.96319
PIK3C2G	10	0.015205	0.11623	0.89755	0.9965	0.90747	0.99649
DGKA	10	-0.024244	-0.35372	0.80801	0.9961	0.72355	0.97983
TK1	10	-0.027874	-0.34218	0.78003	0.9961	0.73222	0.97983
ITPKB	10	-0.11524	-1.0348	0.26604	0.95814	0.30074	0.90162
CKB	10	-0.13618	-1.7479	0.19328	0.88212	0.080482	0.7464
BTK	10	-0.10735	-1.1105	0.29961	0.98166	0.26678	0.87765
ACACB	10	-0.10937	-1.6331	0.29574	0.98166	0.10244	0.75544
HK3	10	-0.081592	-1.0007	0.43909	0.9961	0.31696	0.90162
NFS1	10	-0.088896	-0.69057	0.39991	0.9961	0.48983	0.93318
FGGY	10	-0.045412	-0.56299	0.65088	0.9961	0.57344	0.95942
PDPK1	10	0.060198	0.51416	0.5622	0.9961	0.60714	0.95959
SIGMAR1	10	-0.10785	-1.5156	0.29961	0.98166	0.12962	0.8237
HIBADH	10	-0.048858	-0.47713	0.63108	0.9961	0.63327	0.96319
AGTR2	10	0.09109	0.97852	0.37882	0.9961	0.32782	0.90227
DUSP21	10	-0.19126	-2.3662	0.075334	0.77434	0.017972	0.54221
PIP5K1A	10	0.20994	1.5499	0.038313	0.6338	0.12116	0.80665
GIT2	10	-0.14437	-1.3399	0.16832	0.86696	0.18029	0.83494
MKNK1	10	0.063845	0.73875	0.53508	0.9961	0.46006	0.92978
PTPRM	10	0.067607	0.76495	0.51141	0.9961	0.4443	0.92978
TESK1	10	0.17172	1.7983	0.087817	0.77817	0.072125	0.71296
IRAK3	10	0.0006958	0.006728	0.98278	0.99694	0.99463	1
AK3	10	-0.091865	-0.90876	0.38269	0.9961	0.36348	0.91348
PIPOX	10	-0.14192	-1.8658	0.1752	0.86809	0.062067	0.70695
RABGGTA	10	-0.35412	-2.8389	0.0021524	0.16129	0.0045266	0.47992
TNK2	10	-0.055829	-0.60442	0.58545	0.9961	0.54556	0.95407
PYGL	10	-0.10455	-1.0898	0.3164	0.98795	0.27582	0.88621
PYCRL	10	-0.044624	-0.53504	0.65476	0.9961	0.59262	0.95942
GABRB2	10	-0.080256	-1.0679	0.44641	0.9961	0.28554	0.89459
SLC16A4	10	0.14032	1.4457	0.16659	0.86696	0.14826	0.82859
NME2	10	0.04225	0.49134	0.69307	0.9961	0.62319	0.96319
GABRP	10	-0.028588	-0.32713	0.77185	0.9961	0.74357	0.97983
HTR3A	10	0.026732	0.36207	0.80542	0.9961	0.7173	0.97983
SLC22A11	10	-0.070221	-0.68117	0.49935	0.9961	0.49577	0.93351
SLC9A1	10	0.034628	0.41164	0.74774	0.9961	0.6806	0.97862
PHKG2	10	-0.10665	-1.2631	0.30478	0.98795	0.20656	0.86343
MAP3K3	10	0.16511	1.4264	0.1003	0.78477	0.15377	0.82859
GAD1	10	-0.13062	-1.8132	0.21136	0.91577	0.069794	0.71075
TUBA1B	10	0.092879	0.68262	0.36849	0.9961	0.49485	0.93351
FAAH	10	-0.00078036	-0.0069408	0.97288	0.9965	0.99446	1
BMPR1B	10	-0.076608	-0.86699	0.46578	0.9961	0.38595	0.92536
TPSAB1	8	-0.09074	-0.7866	0.45114	0.9961	0.43151	0.92978
RYR1	10	-0.075656	-0.76396	0.46879	0.9961	0.44489	0.92978
NNMT	10	-0.032386	-0.39253	0.74688	0.9961	0.69467	0.97862
NME4	10	0.010564	0.13475	0.94275	0.9965	0.89281	0.99498
IFNGR2	10	0.065395	0.92152	0.52518	0.9961	0.35678	0.90745
SCNN1B	10	-0.049864	-0.56704	0.62462	0.9961	0.57068	0.95942
CACNA1D	10	-0.28045	-2.3888	0.012914	0.48387	0.016902	0.54153
GLA	10	0.022979	0.17197	0.83556	0.9961	0.86346	0.99498
ACOX1	10	0.012325	0.23513	0.92811	0.9965	0.81411	0.98756
GFER	10	-0.077775	-0.7312	0.45803	0.9961	0.46465	0.92978
PPIH	10	-0.0085471	-0.10123	0.91433	0.9965	0.91937	0.99649
MAP3K1	10	-0.089428	-0.98105	0.39561	0.9961	0.32657	0.90162
CEL	10	-0.0011667	-0.01041	0.9703	0.9965	0.99169	1
CTLA4	10	-0.020422	-0.30955	0.83297	0.9961	0.75691	0.97983
BRDT	10	-0.032349	-0.32421	0.74688	0.9961	0.74578	0.97983
NDUFS6	10	-0.0070324	-0.070487	0.92424	0.9965	0.94381	0.99709
HAO2	10	-0.020446	-0.24964	0.83211	0.9961	0.80286	0.98264
YARS2	10	-0.20085	-1.157	0.060697	0.72857	0.24728	0.87765
PTPDC1	10	-0.053359	-0.46106	0.60482	0.9961	0.64476	0.96531
MYLK	10	0.16643	1.6861	0.095136	0.77817	0.091778	0.74663
CYB5R1	10	-0.040614	-0.47021	0.68618	0.9961	0.63821	0.96332
TUBA4A	10	0.16688	1.744	0.095136	0.77817	0.081152	0.7464
SLC18A2	10	0.12438	1.6383	0.21782	0.91577	0.10137	0.75484
FCGR1B	7	0.212	1.3872	0.087387	0.77817	0.16538	0.82859
PCK1	10	-0.09086	-0.84789	0.38786	0.9961	0.3965	0.92978
MAPK12	10	0.042291	0.47301	0.69307	0.9961	0.6362	0.96319
ATOX1	7	0.25039	1.7987	0.046492	0.67901	0.07206	0.71296
SLC19A2	10	-0.068681	-0.6797	0.5071	0.9961	0.49669	0.93396
PPP3CA	10	0.1721	1.4985	0.086957	0.77817	0.13401	0.82859
GRK7	10	-0.044143	-0.43373	0.65777	0.9961	0.66448	0.97511
SBF1	10	-0.042789	-0.53309	0.66853	0.9961	0.59397	0.95942
TLK1	10	0.14633	1.2143	0.14808	0.8536	0.22463	0.87702
ILK	10	-0.085415	-0.90847	0.4223	0.9961	0.36363	0.91348
MURC	10	0.026954	0.18311	0.80413	0.9961	0.85471	0.99498
SPR	10	-0.17358	-1.5295	0.10202	0.78477	0.12614	0.8237
PPP2CA	8	-0.26154	-2.0932	0.029703	0.62393	0.036335	0.66586
SLC7A1	10	-0.044711	-0.75497	0.65433	0.9961	0.45027	0.92978
CHRFAM7A	10	-0.091039	-1.0586	0.38657	0.9961	0.2898	0.89459
P4HB	10	0.092881	1.059	0.36849	0.9961	0.28958	0.89459
CERK	10	0.024106	0.3198	0.82824	0.9961	0.74912	0.97983
KCNJ3	10	-0.11829	-1.117	0.25312	0.95305	0.26398	0.87765
HSD17B7	10	0.08244	0.98727	0.42359	0.9961	0.32351	0.90162
RETSAT	10	-0.097188	-0.97191	0.35471	0.9961	0.33109	0.9042
PGK2	10	0.18135	1.6999	0.071459	0.75455	0.089141	0.74663
MTNR1B	10	0.068845	0.89908	0.50452	0.9961	0.36861	0.91352
SERPINB3	10	-0.061783	-0.70853	0.54714	0.9961	0.47861	0.93058
TAOK3	10	-0.051431	-0.82396	0.613	0.9961	0.40996	0.92978
KCNN3	10	-0.078245	-0.88705	0.45631	0.9961	0.37505	0.91352
SLC13A2	10	-0.14623	-1.2291	0.16401	0.86696	0.21904	0.86543
TUB	10	0.14277	1.4296	0.1554	0.86635	0.15284	0.82859
STYK1	10	0.10816	1.4909	0.29359	0.98166	0.13599	0.82859
CDC25B	10	0.20666	1.6688	0.041756	0.65772	0.095166	0.74663
AK2	10	0.1578	1.1067	0.11623	0.80597	0.26842	0.87832
MTMR7	10	-0.028612	-0.43945	0.77142	0.9961	0.66034	0.97227
AKAP8L	10	0.036511	0.50701	0.7288	0.9961	0.61215	0.95959
ARPC1B	10	-0.021503	-0.28766	0.82437	0.9961	0.77361	0.97983
SIRT3	10	0.096861	1.1161	0.34783	0.9961	0.26437	0.87765
PTGER4	10	-0.074493	-0.83671	0.4774	0.9961	0.40276	0.92978
DUSP3	10	0.02691	0.33424	0.80456	0.9961	0.7382	0.97983
HIPK1	10	-0.062033	-0.60149	0.54542	0.9961	0.54751	0.95407
BCKDK	10	0.12648	1.1127	0.21266	0.91577	0.26583	0.87765
UQCRQ	10	-0.077644	-0.82725	0.45889	0.9961	0.40809	0.92978
GALK2	10	-0.00019172	-0.0015995	0.97805	0.9965	0.99872	1
CLEC3B	10	0.13819	1.305	0.17176	0.86809	0.1919	0.84429
MTR	10	0.16645	1.8608	0.095136	0.77817	0.062776	0.70695
PPA1	10	-0.16944	-1.4942	0.11106	0.79758	0.13511	0.82859
ADCK2	10	0.068735	0.95848	0.50538	0.9961	0.33782	0.9042
DLD	10	-0.10752	-0.78677	0.29961	0.98166	0.43141	0.92978
MLKL	10	0.16793	1.3504	0.094705	0.77817	0.17689	0.83494
SNRK	10	-0.11981	-1.506	0.2458	0.94108	0.13206	0.82686
CLPP	10	-0.11622	-1.2043	0.26173	0.95305	0.22849	0.87765
TSTA3	10	-0.016266	-0.15425	0.85837	0.9961	0.87742	0.99498
FAH	10	-0.17101	-2.0591	0.10848	0.79758	0.039488	0.67467
STYXL1	10	0.065942	0.76568	0.52217	0.9961	0.44387	0.92978
EEA1	10	-0.19307	-1.6242	0.070598	0.75229	0.10434	0.76456
PANK4	10	0.14366	1.8418	0.15282	0.86375	0.0655	0.70695
LTK	10	0.031913	0.54231	0.7641	0.9961	0.58761	0.95942
BLK	10	-0.014037	-0.17946	0.87086	0.9961	0.85758	0.99498
TPSB2	10	-0.040926	-0.46685	0.68274	0.9961	0.64061	0.96444
LGSN	10	0.021639	0.23859	0.84546	0.9961	0.81142	0.98654
PTPN14	10	0.35267	2.9401	0.0012914	0.15789	0.0032806	0.47992
GSTO2	10	0.16956	2.2605	0.092122	0.77817	0.023788	0.58167
DDR1	10	-0.04756	-0.7753	0.63754	0.9961	0.43817	0.92978
ACP5	10	-0.062994	-0.72044	0.53939	0.9961	0.47126	0.92978
PTPN21	10	-0.0097547	-0.085863	0.90443	0.9965	0.93158	0.99649
ADORA2B	10	0.0090053	0.11433	0.95308	0.9965	0.90898	0.99649
ROCK2	10	-0.02559	-0.32856	0.79595	0.9961	0.74249	0.97983
PHKG1	10	0.0053409	0.048215	0.97546	0.9965	0.96154	0.99869
PSTPIP2	10	0.046985	0.46587	0.66035	0.9961	0.64131	0.96453
LARS2	10	0.12322	1.0812	0.22213	0.91815	0.27961	0.89179
PPP4R1	10	0.03496	0.3733	0.74214	0.9961	0.70892	0.97862
PPP1R14C	10	-0.016326	-0.22858	0.85837	0.9961	0.8192	0.98979
PAK7	10	0.02133	0.29834	0.84632	0.9961	0.76544	0.97983
PHOSPHO1	10	0.029845	0.36099	0.7796	0.9961	0.71811	0.97983
OGFOD2	10	-0.14853	-1.8513	0.15626	0.86635	0.064128	0.70695
MAPK15	10	0.046324	0.61964	0.66466	0.9961	0.53549	0.95084
GLT6D1	10	-0.013071	-0.094147	0.87817	0.9961	0.92499	0.99649
C1QA	10	0.00773	0.10126	0.96212	0.9965	0.91934	0.99649
EPOR	10	-0.029496	-0.26233	0.76797	0.9961	0.79306	0.98253
SERPINA1	10	-0.0061307	-0.080422	0.93198	0.9965	0.9359	0.99649
PDE11A	10	0.04736	0.52383	0.65734	0.9961	0.6004	0.95942
RDH8	10	-0.070375	-0.73094	0.49806	0.9961	0.46481	0.92978
MAP3K15	10	0.12238	1.0494	0.22514	0.91972	0.29399	0.89496
GPRC5A	10	0.06646	0.71499	0.52045	0.9961	0.47462	0.92978
UPP1	10	-0.032864	-0.37326	0.74257	0.9961	0.70896	0.97862
PRKCI	10	-0.052335	-0.48455	0.60956	0.9961	0.628	0.96319
IP6K2	10	0.049215	0.47778	0.64486	0.9961	0.6328	0.96319
HCK	10	0.072107	0.72809	0.48601	0.9961	0.46656	0.92978
NARS2	10	-0.011438	-0.13646	0.89109	0.9965	0.89146	0.99498
CAPN1	10	-0.25769	-1.8997	0.020663	0.57471	0.057476	0.70695
TPTE	10	0.044476	0.43697	0.67714	0.9961	0.66213	0.97227
CDC42BPG	10	-0.076813	-0.78729	0.46492	0.9961	0.43111	0.92978
PPEF2	10	-0.001651	-0.020642	0.96728	0.9965	0.98353	0.99869
TFF2	10	-0.13971	-1.3535	0.18381	0.87247	0.17589	0.83217
PGLYRP3	10	0.063788	0.67889	0.53508	0.9961	0.49721	0.93396
ACVR1C	10	0.035579	0.41326	0.73698	0.9961	0.67942	0.97862
CHRM4	10	0.22364	1.7515	0.028412	0.62264	0.07986	0.7464
PTK6	10	0.11323	1.3422	0.26819	0.96142	0.17953	0.83494
SCYL1	10	-0.077731	-0.70668	0.45803	0.9961	0.47977	0.93107
CTDP1	10	0.00015487	0.00086217	0.9802	0.9965	0.99931	1
MAPK8IP2	10	0.025823	0.37283	0.81446	0.9961	0.70927	0.97862
DRD2	10	-0.044368	-0.49776	0.65734	0.9961	0.61865	0.96194
IL2RB	10	-0.13728	-1.013	0.1907	0.87723	0.31105	0.90162
RARRES1	10	0.058693	0.73387	0.57167	0.9961	0.46303	0.92978
DUSP11	10	-0.10778	-1.0683	0.29961	0.98166	0.28537	0.89459
PTPN18	10	-0.083922	-0.82577	0.42833	0.9961	0.40893	0.92978
PTPN6	10	-0.073258	-0.89206	0.48515	0.9961	0.37236	0.91352
VARS	10	-0.2794	-1.6634	0.013345	0.49206	0.096224	0.74663
SUOX	10	-0.076447	-0.98153	0.46578	0.9961	0.32633	0.90162
SLCO2B1	10	-0.094837	-1.3343	0.36634	0.9961	0.1821	0.83494
TLK2	10	-0.047415	-0.45089	0.63969	0.9961	0.65207	0.97037
DAO	10	-0.032369	-0.37706	0.74688	0.9961	0.70613	0.97862
YES1	10	-0.17268	-2.9064	0.10331	0.78947	0.0036562	0.47992
TPD52L3	10	0.038312	0.48875	0.71588	0.9961	0.62502	0.96319
PPP2R4	10	-0.016901	-0.17932	0.85622	0.9961	0.85769	0.99498
CHRM5	10	-0.12803	-1.2468	0.21954	0.91577	0.21249	0.86446
CSNK2A1	10	0.038882	0.5028	0.7133	0.9961	0.61511	0.95959
PPP2R3B	10	0.0529	0.56192	0.61774	0.9961	0.57417	0.95942
BRSK2	10	-0.12668	-1.6649	0.226	0.91972	0.095938	0.74663
LIAS	10	-0.12186	-0.99775	0.23935	0.93919	0.3184	0.90162
LYN	10	0.078556	0.96494	0.44511	0.9961	0.33458	0.9042
PPAP2B	10	-0.16188	-1.0126	0.12527	0.82203	0.31124	0.90162
NDUFV3	10	0.082821	0.93569	0.42187	0.9961	0.34943	0.9042
EIF2AK3	10	0.005197	0.054553	0.97632	0.9965	0.95649	0.99869
CHRM2	10	-0.020991	-0.28616	0.82738	0.9961	0.77475	0.97983
CPO	10	-0.21905	-1.6613	0.043478	0.66887	0.096649	0.74663
SLC6A2	10	-0.069154	-0.58879	0.50495	0.9961	0.556	0.95942
CDC25A	10	0.072486	0.83083	0.483	0.9961	0.40607	0.92978
PRKCDBP	10	0.084572	1.2055	0.41369	0.9961	0.22799	0.87765
DSTN	10	0.16587	1.5184	0.098579	0.78477	0.12891	0.8237
ACP2	10	-0.093525	-0.88409	0.37236	0.9961	0.37665	0.91522
ATP6V1C1	10	-0.4127	-2.3233	0	0	0.020163	0.55204
EPHB6	10	0.032785	0.29614	0.75936	0.9961	0.76712	0.97983
GAA	10	0.087181	1.3642	0.39862	0.9961	0.17251	0.82859
PPP1R11	10	0.15077	1.178	0.13259	0.83288	0.23881	0.87765
CACNA1C	10	0.0049488	0.053207	0.9802	0.9965	0.95757	0.99869
FADS1	10	0.026309	0.37568	0.80973	0.9961	0.70716	0.97862
UBC	10	-0.010442	-0.12276	0.90056	0.9965	0.9023	0.99649
ABCC2	10	-0.021188	-0.31523	0.82738	0.9961	0.75259	0.97983
MTM1	10	-0.030975	-0.30014	0.75807	0.9961	0.76407	0.97983
OBSCN	10	-0.082155	-1.0086	0.43564	0.9961	0.31314	0.90162
STK38L	10	0.15313	0.59971	0.12484	0.82153	0.5487	0.95407
ADORA3	10	0.021988	0.24456	0.84503	0.9961	0.80679	0.98538
PTPLB	10	-0.093336	-0.99378	0.37495	0.9961	0.32033	0.90162
GLRA3	10	0.079842	0.5919	0.4378	0.9961	0.55392	0.95942
STK32C	10	-0.056612	-0.65039	0.57985	0.9961	0.51544	0.94163
WNK3	10	0.07182	0.92321	0.48773	0.9961	0.3559	0.90745
CHD1	10	0.093502	0.73719	0.36677	0.9961	0.46101	0.92978
KIT	10	0.026609	0.1949	0.80758	0.9961	0.84547	0.99498
DUSP6	10	-0.096936	-1.1552	0.35601	0.9961	0.24802	0.87765
GRIA2	10	-0.21154	-1.7234	0.047783	0.68047	0.084825	0.7464
CASK	10	0.041664	0.39392	0.69737	0.9961	0.69364	0.97862
PARS2	10	0.11151	0.88497	0.27594	0.96692	0.37617	0.91502
COMTD1	10	0.095954	1.1717	0.3517	0.9961	0.24131	0.87765
GALK1	10	-0.023649	-0.37783	0.80973	0.9961	0.70556	0.97862
AGXT2	10	-0.084334	-1.2776	0.4266	0.9961	0.20139	0.85839
NPY2R	10	-0.089666	-1.0009	0.39389	0.9961	0.31689	0.90162
DGUOK	10	-0.0076833	-0.078275	0.91993	0.9965	0.93761	0.99649
SGPL1	10	0.087146	1.0901	0.39948	0.9961	0.27568	0.88621
DUSP2	10	-0.012452	-0.13456	0.88334	0.9965	0.89296	0.99498
CACNB4	10	0.017069	0.17437	0.88291	0.9965	0.86157	0.99498
CYP2D6	10	0.035049	0.3808	0.74171	0.9961	0.70335	0.97862
SEC14L2	9	-0.088922	-0.89176	0.43392	0.9961	0.37252	0.91352
MMP27	10	0.18684	0.94323	0.065863	0.72857	0.34556	0.9042
SSH2	10	0.0094556	0.072793	0.9492	0.9965	0.94197	0.99709
C5	10	-0.16856	-1.619	0.11279	0.79758	0.10544	0.76545
ALPK2	10	-0.046308	-0.34638	0.64615	0.9961	0.72906	0.97983
TRAPPC2	10	0.030159	0.27382	0.77701	0.9961	0.78423	0.98049
LY96	10	0.0874	0.90161	0.3969	0.9961	0.36726	0.91352
SOD1	10	-0.45364	-2.5458	0	0	0.010902	0.50142
NEK7	10	0.079235	0.67356	0.43995	0.9961	0.50059	0.93464
CHRNB4	10	-0.09124	-0.92867	0.38614	0.9961	0.35306	0.90592
MST1R	10	-0.033884	-0.53087	0.73138	0.9961	0.59551	0.95942
PKIB	10	0.03963	0.53554	0.70814	0.9961	0.59228	0.95942
FTL	10	0.06405	0.86689	0.53379	0.9961	0.386	0.92536
EIF2AK4	10	-0.048825	-0.44983	0.63151	0.9961	0.65284	0.97089
KCNMB2	10	-0.085279	-0.40119	0.42273	0.9961	0.68828	0.97862
CDK5R1	10	0.24832	0.81672	0.017219	0.55556	0.41409	0.92978
KCNQ3	10	-0.0072544	-0.082065	0.92424	0.9965	0.9346	0.99649
OAZ2	10	0.033776	0.2588	0.75032	0.9961	0.79579	0.98253
NEK10	10	-0.049424	-0.68631	0.62678	0.9961	0.49252	0.93351
CAMK2B	10	-0.14043	-0.98796	0.18037	0.87247	0.32317	0.90162
UGDH	10	-0.030672	-0.385	0.76065	0.9961	0.70024	0.97862
APOE	10	-0.040362	-0.50108	0.68833	0.9961	0.61632	0.95959
KCNK2	10	0.10703	1.2362	0.29746	0.98166	0.21637	0.86446
FN3KRP	10	0.075968	0.73541	0.46061	0.9961	0.46209	0.92978
MAST2	10	-0.030313	-0.30666	0.76281	0.9961	0.7591	0.97983
MMP10	10	-0.0081611	-0.097061	0.91692	0.9965	0.92268	0.99649
EPX	10	-0.051589	-0.54681	0.613	0.9961	0.58451	0.95942
ABCC9	10	-0.003531	-0.025218	0.95394	0.9965	0.97988	0.99869
ELOVL4	10	-0.0082694	-0.084652	0.91649	0.9965	0.93254	0.99649
DHPS	10	-0.15532	-1.8531	0.13947	0.84131	0.063865	0.70695
ARPC4	4	0.33043	2.3837	0.048644	0.68047	0.017142	0.54153
PFKFB4	10	-0.0074298	-0.089455	0.92122	0.9965	0.92872	0.99649
RABGGTB	10	-0.43413	-2.9525	0	0	0.0031517	0.47992
LPL	10	-0.0028624	-0.031324	0.95954	0.9965	0.97501	0.99869
S100G	10	0.028105	0.29518	0.79466	0.9961	0.76786	0.97983
DLG4	10	0.25428	2.7326	0.015067	0.52174	0.0062843	0.47992
KALRN	10	-0.11604	-1.5498	0.26216	0.95305	0.12119	0.80665
CHRNB1	10	0.016341	0.17053	0.88851	0.9965	0.86459	0.99498
QPRT	10	0.073092	0.73953	0.48041	0.9961	0.45958	0.92978
TBXA2R	10	0.10951	1.1685	0.2867	0.97944	0.2426	0.87765
PPFIA2	10	-0.097348	-0.99734	0.35471	0.9961	0.3186	0.90162
PTEN	10	0.14724	1.4749	0.14464	0.84211	0.14025	0.82859
SBF2	10	0.12207	1.4605	0.22643	0.91972	0.14416	0.82859
ACSL1	10	0.035945	0.29211	0.7344	0.9961	0.7702	0.97983
PLCL1	10	-0.068054	-0.69945	0.51012	0.9961	0.48427	0.93126
BACE1	10	-0.037894	-0.35238	0.70168	0.9961	0.72456	0.97983
MAGI2	10	0.028739	0.22585	0.7895	0.9961	0.82132	0.98979
NMNAT3	10	-0.0072756	-0.07926	0.92381	0.9965	0.93683	0.99649
SGK2	10	-0.18633	-1.8075	0.08136	0.77642	0.070678	0.71075
GNE	10	0.16291	1.6426	0.10547	0.79545	0.10047	0.75284
PKLR	10	0.10724	1.1654	0.29746	0.98166	0.24384	0.87765
CIB3	10	-0.0080611	-0.052251	0.91778	0.9965	0.95833	0.99869
CDK10	10	0.019813	0.2258	0.86225	0.9961	0.82136	0.98979
DRD1	10	-0.017243	-0.20093	0.85364	0.9961	0.84075	0.99498
NPC1L1	10	-0.063124	-0.93323	0.53853	0.9961	0.3507	0.9042
NTSR2	10	0.0030664	0.039799	0.99699	0.99871	0.96825	0.99869
ACP6	10	0.184	1.4471	0.067155	0.73585	0.14786	0.82859
CANX	10	-0.039434	-0.50229	0.69393	0.9961	0.61546	0.95959
PDXK	10	0.020477	0.22026	0.85665	0.9961	0.82567	0.99226
CACNB1	10	0.15409	1.0302	0.12355	0.81534	0.3029	0.90162
SAA1	10	0.039161	0.3751	0.71115	0.9961	0.70759	0.97862
MR1	10	0.066087	0.74134	0.52174	0.9961	0.45849	0.92978
H6PD	10	0.038873	0.55096	0.7133	0.9961	0.58166	0.95942
CHRNA2	10	-0.14946	-1.7757	0.15497	0.86635	0.075785	0.73205
MAK	10	0.089051	0.81912	0.387	0.9961	0.41272	0.92978
CDK7	10	-0.044106	-0.28592	0.6582	0.9961	0.77494	0.97983
ISYNA1	10	0.016645	0.12757	0.88678	0.9965	0.89849	0.99649
HAO1	10	-0.0042698	-0.059466	0.94748	0.9965	0.95258	0.99869
FGFR4	10	-0.02702	-0.33478	0.78648	0.9961	0.73779	0.97983
CS	10	-0.052901	-0.30636	0.60697	0.9961	0.75933	0.97983
NPR2	10	-0.19038	-2.3965	0.076625	0.77637	0.016555	0.54153
MYLK3	10	0.048365	0.56334	0.65002	0.9961	0.5732	0.95942
IP6K3	10	0.19102	2.0176	0.06328	0.72857	0.043637	0.67799
LDHAL6A	10	-0.060489	-0.92591	0.55704	0.9961	0.35449	0.90745
EARS2	9	-0.00096685	-0.0066167	0.98063	0.9965	0.99472	1
ULK2	10	0.089663	0.93362	0.38356	0.9961	0.3505	0.9042
ERBB4	10	0.16524	1.6577	0.099871	0.78477	0.097386	0.74663
PTPRN2	10	-0.054619	-0.64908	0.59621	0.9961	0.51628	0.94163
PCSK2	10	-0.022043	-0.32599	0.8192	0.9961	0.74444	0.97983
GUCY2D	10	-0.096069	-0.77062	0.35859	0.9961	0.44093	0.92978
MPRIP	10	0.037763	0.4615	0.71976	0.9961	0.64444	0.96531
GLYATL1	10	0.075064	0.71618	0.46535	0.9961	0.47388	0.92978
BCR	10	-0.042034	-0.52906	0.67284	0.9961	0.59676	0.95942
COX7B	9	-0.013931	-0.08508	0.88678	0.9965	0.9322	0.99649
MMAA	10	-0.0073319	-0.053535	0.92251	0.9965	0.95731	0.99869
ABCG1	10	0.17313	2.3271	0.086096	0.77817	0.019961	0.55204
PLIN3	10	-0.30118	-2.5501	0.0081791	0.38	0.010769	0.50142
NSDHL	10	-0.11152	-0.80813	0.28541	0.97932	0.41902	0.92978
QDPR	10	-0.030435	-0.20394	0.76238	0.9961	0.8384	0.99419
GRIK5	10	-0.14566	-1.3606	0.16444	0.86696	0.17365	0.82859
SLC12A7	10	-0.071045	-0.79482	0.49677	0.9961	0.42672	0.92978
PPP6C	10	-0.12418	-1.1544	0.23246	0.93426	0.24833	0.87765
POMC	10	0.080511	1.1155	0.43435	0.9961	0.26462	0.87765
ACSL3	10	-0.025301	-0.22837	0.79897	0.9961	0.81936	0.98979
PRG2	10	0.07287	0.66871	0.48084	0.9961	0.50368	0.93679
KCNN2	10	0.06159	0.69	0.55316	0.9961	0.49019	0.93318
RXRA	10	0.15811	1.4863	0.1158	0.80539	0.13719	0.82859
KCNH2	10	-0.078483	-0.98768	0.45458	0.9961	0.32331	0.90162
HPD	10	-0.0005897	-0.0056973	0.97417	0.9965	0.99545	1
PPM1F	10	0.32354	2.3226	0.0021524	0.16129	0.020199	0.55204
INPP1	10	0.029126	0.25166	0.78648	0.9961	0.80131	0.98253
NTRK1	10	-0.07783	-0.89145	0.4576	0.9961	0.37269	0.91352
DUSP13	10	0.053401	0.39922	0.61472	0.9961	0.68973	0.97862
CSNK2A2	10	0.062968	0.54901	0.53982	0.9961	0.583	0.95942
TRPA1	10	-0.31411	-2.4758	0.0051657	0.29268	0.013293	0.54146
FOLR2	10	-0.014497	-0.19222	0.87	0.9961	0.84757	0.99498
LSM6	10	-0.16301	-0.88685	0.12226	0.81143	0.37516	0.91352
PDK2	10	0.038906	0.34944	0.7133	0.9961	0.72676	0.97983
NDUFC1	10	0.010763	0.10247	0.94275	0.9965	0.91839	0.99649
CKS2	9	0.030202	0.19011	0.80241	0.9961	0.84922	0.99498
GABRA5	10	-0.06105	-0.90171	0.55402	0.9961	0.36721	0.91352
NPR1	10	-0.055348	-0.61381	0.59062	0.9961	0.53934	0.95314
PECR	10	-0.018174	-0.27716	0.84804	0.9961	0.78165	0.97983
LIPA	10	0.066951	0.73427	0.51657	0.9961	0.46279	0.92978
CACNA2D1	10	-0.076187	-0.7764	0.4675	0.9961	0.43751	0.92978
LHPP	10	-0.053531	-0.80368	0.60353	0.9961	0.42158	0.92978
TAOK2	10	0.058867	0.56365	0.57081	0.9961	0.57299	0.95942
BMPR2	10	-0.059827	-0.85955	0.55962	0.9961	0.39004	0.92685
PPP2R1B	10	0.024828	0.41469	0.82264	0.9961	0.67837	0.97862
RDH12	10	0.060842	0.48334	0.55833	0.9961	0.62886	0.96319
DUSP16	10	-0.0095267	-0.10601	0.90659	0.9965	0.91557	0.99649
PRKAA2	10	-0.15309	-1.7274	0.14378	0.84131	0.084101	0.7464
NDUFA8	10	-0.04663	-0.52202	0.64486	0.9961	0.60165	0.95942
TYRO3	10	0.22977	1.3869	0.024107	0.6	0.16548	0.82859
NEK9	10	0.094281	1.194	0.3616	0.9961	0.23249	0.87765
MTRR	10	-0.058948	-0.76912	0.56393	0.9961	0.44182	0.92978
